date,year,week,month,y_raw,y_log,suppression_flag_filled,post_covid,temp_z,ah_z,hko_temp_norm,hko_ah_norm
2022-09-11,2022.0,38.0,9,0.0,-13.815510557964274,1,0,0.9484673985984521,0.8703996923369419,27.8,21.531
2022-09-18,2022.0,39.0,9,2.4e-06,-12.940041820610373,0,0,0.9484673985984521,0.8703996923369419,27.8,21.531
2022-09-25,2022.0,40.0,9,3.599999999999999e-06,-12.53457671250221,0,0,0.9484673985984521,0.8703996923369419,27.8,21.531
2022-10-02,2022.0,41.0,10,2.1600000000000003e-05,-10.742817243274155,0,1,0.43976929693259253,-0.03003434639215283,25.4,16.956
2022-10-09,2022.0,42.0,10,4.2e-06,-12.380426032674952,0,1,0.43976929693259253,-0.03003434639215283,25.4,16.956
2022-10-16,2022.0,43.0,10,4.48e-05,-10.013302418543335,0,1,0.43976929693259253,-0.03003434639215283,25.4,16.956
2022-10-23,2022.0,44.0,10,4.5e-05,-10.008848068193954,0,1,0.43976929693259253,-0.03003434639215283,25.4,16.956
2022-10-30,2022.0,45.0,10,7.520000000000001e-05,-9.49535932700848,0,1,0.43976929693259253,-0.03003434639215283,25.4,16.956
2022-11-06,2022.0,46.0,11,5.699999999999999e-05,-9.772459290129724,0,1,-0.40806087251050593,-0.7846275932746336,21.4,13.122
2022-11-13,2022.0,47.0,11,4e-05,-10.126631103850338,0,1,-0.40806087251050593,-0.7846275932746336,21.4,13.122
2022-11-20,2022.0,48.0,11,4.32e-05,-10.04967006271421,0,1,-0.40806087251050593,-0.7846275932746336,21.4,13.122
2022-11-27,2022.0,49.0,11,3.12e-05,-10.375092463148837,0,1,-0.40806087251050593,-0.7846275932746336,21.4,13.122
2022-12-04,2022.0,50.0,12,4.5e-06,-12.311433161188,0,1,-1.171108025009294,-1.276864867779872,17.8,10.621
2022-12-11,2022.0,51.0,12,4.5e-05,-10.008848068193954,0,1,-1.171108025009294,-1.276864867779872,17.8,10.621
2022-12-18,2022.0,52.0,12,1.83e-05,-10.908609498116899,0,1,-1.171108025009294,-1.276864867779872,17.8,10.621
2022-12-25,2022.0,53.0,12,6.039e-05,-9.714687029644464,1,1,-1.171108025009294,-1.276864867779872,17.8,10.621
2023-01-01,2023.0,1.0,1,3.3e-05,-10.319002996497794,0,1,-1.489044338550456,-1.3475218775948983,16.3,10.262
2023-01-08,2023.0,2.0,1,6.300000000000001e-05,-9.672375831572742,0,1,-1.489044338550456,-1.3475218775948983,16.3,10.262
2023-01-15,2023.0,3.0,1,2.13e-05,-10.756803485248895,0,1,-1.489044338550456,-1.3475218775948983,16.3,10.262
2023-01-22,2023.0,4.0,1,0.0001307999999999,-8.941841118941941,0,1,-1.489044338550456,-1.3475218775948983,16.3,10.262
2023-01-29,2023.0,5.0,1,0.0001032,-9.178841704916811,0,1,-1.489044338550456,-1.3475218775948983,16.3,10.262
2023-02-05,2023.0,6.0,2,5.95e-05,-9.72953424541269,0,1,-1.3194783046618361,-1.0761123607845329,17.1,11.641
2023-02-12,2023.0,7.0,2,0.0001391999999999,-8.879598810064673,0,1,-1.3194783046618361,-1.0761123607845329,17.1,11.641
2023-02-19,2023.0,8.0,2,5.0400000000000005e-05,-9.89551938288695,0,1,-1.3194783046618361,-1.0761123607845329,17.1,11.641
2023-02-26,2023.0,9.0,2,9.75e-05,-9.235658179960472,0,1,-1.3194783046618361,-1.0761123607845329,17.1,11.641
2023-03-05,2023.0,10.0,3,0.0002535,-8.280146734933036,0,1,-0.8107802029959774,-0.6592556844942109,19.5,13.759
2023-03-12,2023.0,11.0,3,0.0004614999999999,-7.681028504021584,0,1,-0.8107802029959774,-0.6592556844942109,19.5,13.759
2023-03-19,2023.0,12.0,3,0.000921,-6.990050521708967,0,1,-0.8107802029959774,-0.6592556844942109,19.5,13.759
2023-03-26,2023.0,13.0,3,0.0017663,-6.338868315802876,0,1,-0.8107802029959774,-0.6592556844942109,19.5,13.759
